,,,,,,,,,,,,,,,,,,,,,,
s1_catch,s1_avoid,s2_catch,s2_avoid,s3_catch,s3_avoid,s4_catch,s4_avoid,s5_catch,s5_avoid,s6_catch,s6_avoid,s7_catch,s7_avoid,s8_catch,s8_avoid,s9_catch,s9_avoid,s10_catch,s10_avoid,How did you make your rating? (you do not have to respond),E-mail,Overall Status
,,,,,,,,,,,,,,,,,,,,,,Distributed
80.00,37.00,32.00,18.00,73.00,13.00,7.00,25.00,8.00,10.00,3.00,72.00,14.00,5.00,26.00,4.00,6.00,20.00,5.00,3.00,,,Complete
50.00,76.00,13.00,71.00,27.00,51.00,19.00,37.00,45.00,6.00,0.00,51.00,0.00,15.00,45.00,0.00,50.00,71.00,2.00,0.00,,,Complete
14.00,14.00,14.00,30.00,34.00,14.00,14.00,24.00,14.00,14.00,14.00,40.00,14.00,14.00,10.00,14.00,14.00,14.00,14.00,14.00,,,Complete
62.00,55.00,8.00,11.00,70.00,9.00,14.00,14.00,26.00,10.00,11.00,60.00,12.00,14.00,41.00,36.00,6.00,27.00,38.00,9.00,based on success and strategy,,Complete
46.00,41.00,4.00,26.00,26.00,5.00,1.00,31.00,6.00,4.00,4.00,43.00,7.00,22.00,7.00,35.00,27.00,41.00,4.00,1.00,"based on how akin it was to human movement, looking for what could look like hesitation",,Complete
85.00,32.00,0.00,1.00,70.00,8.00,0.00,27.00,5.00,10.00,0.00,27.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",,Complete
,,,,,,,,,,,,,,,,,,,,,,Distributed
,,,,,,,,,,,,,,,,,,,,,,Distributed
,,,,,,,,,,,,,,,,,,,,,,Distributed
28.00,2.00,2.00,5.00,55.00,91.00,1.00,93.00,20.00,2.00,4.00,12.00,22.00,8.00,1.00,2.00,3.00,15.00,15.00,2.00,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",,Complete
,,,,,,,,,,,,,,,,,,,,,,Distributed
,,,,,,,,,,,,,,,,,,,,,,Distributed
30.00,5.00,7.00,5.00,30.00,5.00,10.00,10.00,5.00,7.00,5.00,19.00,7.00,20.00,10.00,10.00,5.00,16.00,5.00,10.00,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,,Complete
81.00,26.00,19.00,18.00,88.00,13.00,18.00,18.00,29.00,20.00,16.00,70.00,21.00,53.00,19.00,79.00,18.00,34.00,19.00,16.00,,,Complete
77.00,80.00,0.00,27.00,90.00,38.00,41.00,50.00,49.00,15.00,1.00,22.00,0.00,30.00,26.00,12.00,0.00,27.00,11.00,16.00,Jo flere usystematiske bevægelser des mere bevidst forekommer den blå mig at være,,Complete
50.00,22.00,24.00,7.00,43.00,28.00,12.00,43.00,20.00,57.00,18.00,22.00,2.00,59.00,3.00,54.00,12.00,19.00,2.00,2.00,I noticed i chose the ones that were not so systematic and aæso prefered those who succeeded i think,,Complete
,,,,,,,,,,,,,,,,,,,,,,Distributed
,,,,,,,,,,,,,,,,,,,,,,Distributed
,,,,,,,,,,,,,,,,,,,,,,Distributed
,,,,,,,,,,,,,,,,,,,,,,Distributed
90.00,80.00,13.00,73.00,100.00,33.00,8.00,87.00,18.00,0.00,21.00,87.00,14.00,81.00,82.00,10.00,0.00,60.00,61.00,10.00,,,Complete
56.00,45.00,17.00,54.00,64.00,2.00,3.00,17.00,13.00,11.00,6.00,69.00,14.00,26.00,18.00,6.00,6.00,20.00,3.00,7.00,By how much the blue was moved back and forth - and if the motion seem to achieve the purpose,,Complete
,,,,,,,,,,,,,,,,,,,,,,Distributed
70.00,5.00,10.00,5.00,70.00,15.00,10.00,85.00,50.00,75.00,20.00,15.00,5.00,40.00,25.00,5.00,5.00,30.00,5.00,5.00,Often very low ( the scale is a bit too big for this decision),,Complete
90.00,42.00,2.00,39.00,90.00,2.00,1.00,51.00,18.00,79.00,1.00,86.00,11.00,7.00,11.00,4.00,2.00,65.00,1.00,1.00,"I assumed that I was completing the tasks, with my level of spacial/coordination ability. those that moved more irregularly, with hesitations, gave the impression of thinking, thus being the more conscious ones. I weighed out this element with the correlation between the task (avoid/catch) and the achieved result",,Complete