subj_id,variable,qualitative,phi_rating,task_type,run,agent,trial,avg_phi,median_phi,sd_phi,min_phi,max_phi,stratum
1,s1_avoid,NA,37,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
1,s1_catch,NA,80,catch,53,21,65,0,0,0,0,0,Stratum_1
1,s2_avoid,NA,18,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
1,s2_catch,NA,32,catch,91,57,65,0.30492424242424243,0.166667,0.2674475840750192,0,1.5,Stratum_2
1,s3_avoid,NA,13,avoid,75,35,102,0.6176139393939394,0.578125,0.2948508114890413,0.0625,1.135415,Stratum_3
1,s3_catch,NA,73,catch,48,104,82,0.742115606060606,0.585813,0.4915776994178374,0.005102,1.5,Stratum_3
1,s4_avoid,NA,25,avoid,23,53,121,0.9885381818181818,0.7325,0.4169738885051328,0.453123,1.629862,Stratum_4
1,s4_catch,NA,7,catch,26,8,77,1,1,0,1,1,Stratum_4
1,s5_avoid,NA,10,avoid,6,49,56,1.0446126666666666,1,0.5334266869937861,0,1.5,Stratum_5
1,s5_catch,NA,8,catch,22,86,26,1.22522,1.302629,0.41900744680166474,0.288335,2.155094,Stratum_5
1,s6_avoid,NA,72,avoid,98,39,124,1.2613636363636365,1.5,0.5140730777441702,0.1875,1.5,Stratum_6
1,s6_catch,NA,3,catch,36,36,73,1.5,1.5,0,1.5,1.5,Stratum_6
1,s7_avoid,NA,5,avoid,29,111,54,1.5318957272727272,1.5,0.3770999526792657,0.573957,2.465391,Stratum_7
1,s7_catch,NA,14,catch,68,105,9,1.5768974242424243,1.311668,0.7112837965683523,0.260862,2.39588,Stratum_7
1,s8_avoid,NA,4,avoid,29,40,110,1.8628365454545457,2.083822,0.4843036303445838,0.550069,2.109375,Stratum_8
1,s8_catch,NA,26,catch,68,108,7,1.9178721212121213,1.013888,1.415235414686673,0.138843,3.717856,Stratum_8
1,s9_avoid,NA,20,avoid,68,108,108,2.0700284545454544,1.013888,1.3797572847894546,0.138843,3.717856,Stratum_9
1,s9_catch,NA,6,catch,68,108,13,2.2432330303030303,1.674109,1.3916384667939417,0.138843,3.717856,Stratum_9
1,s10_avoid,NA,3,avoid,90,72,110,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
1,s10_catch,NA,5,catch,90,74,14,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
2,s1_avoid,NA,76,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
2,s1_catch,NA,50,catch,53,21,65,0,0,0,0,0,Stratum_1
2,s2_avoid,NA,71,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
2,s2_catch,NA,13,catch,91,57,65,0.30492424242424243,0.166667,0.2674475840750192,0,1.5,Stratum_2
2,s3_avoid,NA,51,avoid,75,35,102,0.6176139393939394,0.578125,0.2948508114890413,0.0625,1.135415,Stratum_3
2,s3_catch,NA,27,catch,48,104,82,0.742115606060606,0.585813,0.4915776994178374,0.005102,1.5,Stratum_3
2,s4_avoid,NA,37,avoid,23,53,121,0.9885381818181818,0.7325,0.4169738885051328,0.453123,1.629862,Stratum_4
2,s4_catch,NA,19,catch,26,8,77,1,1,0,1,1,Stratum_4
2,s5_avoid,NA,6,avoid,6,49,56,1.0446126666666666,1,0.5334266869937861,0,1.5,Stratum_5
2,s5_catch,NA,45,catch,22,86,26,1.22522,1.302629,0.41900744680166474,0.288335,2.155094,Stratum_5
2,s6_avoid,NA,51,avoid,98,39,124,1.2613636363636365,1.5,0.5140730777441702,0.1875,1.5,Stratum_6
2,s6_catch,NA,0,catch,36,36,73,1.5,1.5,0,1.5,1.5,Stratum_6
2,s7_avoid,NA,15,avoid,29,111,54,1.5318957272727272,1.5,0.3770999526792657,0.573957,2.465391,Stratum_7
2,s7_catch,NA,0,catch,68,105,9,1.5768974242424243,1.311668,0.7112837965683523,0.260862,2.39588,Stratum_7
2,s8_avoid,NA,0,avoid,29,40,110,1.8628365454545457,2.083822,0.4843036303445838,0.550069,2.109375,Stratum_8
2,s8_catch,NA,45,catch,68,108,7,1.9178721212121213,1.013888,1.415235414686673,0.138843,3.717856,Stratum_8
2,s9_avoid,NA,71,avoid,68,108,108,2.0700284545454544,1.013888,1.3797572847894546,0.138843,3.717856,Stratum_9
2,s9_catch,NA,50,catch,68,108,13,2.2432330303030303,1.674109,1.3916384667939417,0.138843,3.717856,Stratum_9
2,s10_avoid,NA,0,avoid,90,72,110,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
2,s10_catch,NA,2,catch,90,74,14,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
3,s1_avoid,NA,14,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
3,s1_catch,NA,14,catch,53,21,65,0,0,0,0,0,Stratum_1
3,s2_avoid,NA,30,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
3,s2_catch,NA,14,catch,91,57,65,0.30492424242424243,0.166667,0.2674475840750192,0,1.5,Stratum_2
3,s3_avoid,NA,14,avoid,75,35,102,0.6176139393939394,0.578125,0.2948508114890413,0.0625,1.135415,Stratum_3
3,s3_catch,NA,34,catch,48,104,82,0.742115606060606,0.585813,0.4915776994178374,0.005102,1.5,Stratum_3
3,s4_avoid,NA,24,avoid,23,53,121,0.9885381818181818,0.7325,0.4169738885051328,0.453123,1.629862,Stratum_4
3,s4_catch,NA,14,catch,26,8,77,1,1,0,1,1,Stratum_4
3,s5_avoid,NA,14,avoid,6,49,56,1.0446126666666666,1,0.5334266869937861,0,1.5,Stratum_5
3,s5_catch,NA,14,catch,22,86,26,1.22522,1.302629,0.41900744680166474,0.288335,2.155094,Stratum_5
3,s6_avoid,NA,40,avoid,98,39,124,1.2613636363636365,1.5,0.5140730777441702,0.1875,1.5,Stratum_6
3,s6_catch,NA,14,catch,36,36,73,1.5,1.5,0,1.5,1.5,Stratum_6
3,s7_avoid,NA,14,avoid,29,111,54,1.5318957272727272,1.5,0.3770999526792657,0.573957,2.465391,Stratum_7
3,s7_catch,NA,14,catch,68,105,9,1.5768974242424243,1.311668,0.7112837965683523,0.260862,2.39588,Stratum_7
3,s8_avoid,NA,14,avoid,29,40,110,1.8628365454545457,2.083822,0.4843036303445838,0.550069,2.109375,Stratum_8
3,s8_catch,NA,10,catch,68,108,7,1.9178721212121213,1.013888,1.415235414686673,0.138843,3.717856,Stratum_8
3,s9_avoid,NA,14,avoid,68,108,108,2.0700284545454544,1.013888,1.3797572847894546,0.138843,3.717856,Stratum_9
3,s9_catch,NA,14,catch,68,108,13,2.2432330303030303,1.674109,1.3916384667939417,0.138843,3.717856,Stratum_9
3,s10_avoid,NA,14,avoid,90,72,110,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
3,s10_catch,NA,14,catch,90,74,14,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
4,s1_avoid,based on success and strategy,55,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
4,s1_catch,based on success and strategy,62,catch,53,21,65,0,0,0,0,0,Stratum_1
4,s2_avoid,based on success and strategy,11,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
4,s2_catch,based on success and strategy,8,catch,91,57,65,0.30492424242424243,0.166667,0.2674475840750192,0,1.5,Stratum_2
4,s3_avoid,based on success and strategy,9,avoid,75,35,102,0.6176139393939394,0.578125,0.2948508114890413,0.0625,1.135415,Stratum_3
4,s3_catch,based on success and strategy,70,catch,48,104,82,0.742115606060606,0.585813,0.4915776994178374,0.005102,1.5,Stratum_3
4,s4_avoid,based on success and strategy,14,avoid,23,53,121,0.9885381818181818,0.7325,0.4169738885051328,0.453123,1.629862,Stratum_4
4,s4_catch,based on success and strategy,14,catch,26,8,77,1,1,0,1,1,Stratum_4
4,s5_avoid,based on success and strategy,10,avoid,6,49,56,1.0446126666666666,1,0.5334266869937861,0,1.5,Stratum_5
4,s5_catch,based on success and strategy,26,catch,22,86,26,1.22522,1.302629,0.41900744680166474,0.288335,2.155094,Stratum_5
4,s6_avoid,based on success and strategy,60,avoid,98,39,124,1.2613636363636365,1.5,0.5140730777441702,0.1875,1.5,Stratum_6
4,s6_catch,based on success and strategy,11,catch,36,36,73,1.5,1.5,0,1.5,1.5,Stratum_6
4,s7_avoid,based on success and strategy,14,avoid,29,111,54,1.5318957272727272,1.5,0.3770999526792657,0.573957,2.465391,Stratum_7
4,s7_catch,based on success and strategy,12,catch,68,105,9,1.5768974242424243,1.311668,0.7112837965683523,0.260862,2.39588,Stratum_7
4,s8_avoid,based on success and strategy,36,avoid,29,40,110,1.8628365454545457,2.083822,0.4843036303445838,0.550069,2.109375,Stratum_8
4,s8_catch,based on success and strategy,41,catch,68,108,7,1.9178721212121213,1.013888,1.415235414686673,0.138843,3.717856,Stratum_8
4,s9_avoid,based on success and strategy,27,avoid,68,108,108,2.0700284545454544,1.013888,1.3797572847894546,0.138843,3.717856,Stratum_9
4,s9_catch,based on success and strategy,6,catch,68,108,13,2.2432330303030303,1.674109,1.3916384667939417,0.138843,3.717856,Stratum_9
4,s10_avoid,based on success and strategy,9,avoid,90,72,110,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
4,s10_catch,based on success and strategy,38,catch,90,74,14,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
5,s1_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",41,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
5,s1_catch,"based on how akin it was to human movement, looking for what could look like hesitation",46,catch,53,21,65,0,0,0,0,0,Stratum_1
5,s2_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",26,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
5,s2_catch,"based on how akin it was to human movement, looking for what could look like hesitation",4,catch,91,57,65,0.30492424242424243,0.166667,0.2674475840750192,0,1.5,Stratum_2
5,s3_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",5,avoid,75,35,102,0.6176139393939394,0.578125,0.2948508114890413,0.0625,1.135415,Stratum_3
5,s3_catch,"based on how akin it was to human movement, looking for what could look like hesitation",26,catch,48,104,82,0.742115606060606,0.585813,0.4915776994178374,0.005102,1.5,Stratum_3
5,s4_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",31,avoid,23,53,121,0.9885381818181818,0.7325,0.4169738885051328,0.453123,1.629862,Stratum_4
5,s4_catch,"based on how akin it was to human movement, looking for what could look like hesitation",1,catch,26,8,77,1,1,0,1,1,Stratum_4
5,s5_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",4,avoid,6,49,56,1.0446126666666666,1,0.5334266869937861,0,1.5,Stratum_5
5,s5_catch,"based on how akin it was to human movement, looking for what could look like hesitation",6,catch,22,86,26,1.22522,1.302629,0.41900744680166474,0.288335,2.155094,Stratum_5
5,s6_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",43,avoid,98,39,124,1.2613636363636365,1.5,0.5140730777441702,0.1875,1.5,Stratum_6
5,s6_catch,"based on how akin it was to human movement, looking for what could look like hesitation",4,catch,36,36,73,1.5,1.5,0,1.5,1.5,Stratum_6
5,s7_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",22,avoid,29,111,54,1.5318957272727272,1.5,0.3770999526792657,0.573957,2.465391,Stratum_7
5,s7_catch,"based on how akin it was to human movement, looking for what could look like hesitation",7,catch,68,105,9,1.5768974242424243,1.311668,0.7112837965683523,0.260862,2.39588,Stratum_7
5,s8_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",35,avoid,29,40,110,1.8628365454545457,2.083822,0.4843036303445838,0.550069,2.109375,Stratum_8
5,s8_catch,"based on how akin it was to human movement, looking for what could look like hesitation",7,catch,68,108,7,1.9178721212121213,1.013888,1.415235414686673,0.138843,3.717856,Stratum_8
5,s9_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",41,avoid,68,108,108,2.0700284545454544,1.013888,1.3797572847894546,0.138843,3.717856,Stratum_9
5,s9_catch,"based on how akin it was to human movement, looking for what could look like hesitation",27,catch,68,108,13,2.2432330303030303,1.674109,1.3916384667939417,0.138843,3.717856,Stratum_9
5,s10_avoid,"based on how akin it was to human movement, looking for what could look like hesitation",1,avoid,90,72,110,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
5,s10_catch,"based on how akin it was to human movement, looking for what could look like hesitation",4,catch,90,74,14,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
6,s1_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",32,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
6,s1_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",85,catch,53,21,65,0,0,0,0,0,Stratum_1
6,s2_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",1,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
6,s2_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,catch,91,57,65,0.30492424242424243,0.166667,0.2674475840750192,0,1.5,Stratum_2
6,s3_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",8,avoid,75,35,102,0.6176139393939394,0.578125,0.2948508114890413,0.0625,1.135415,Stratum_3
6,s3_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",70,catch,48,104,82,0.742115606060606,0.585813,0.4915776994178374,0.005102,1.5,Stratum_3
6,s4_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",27,avoid,23,53,121,0.9885381818181818,0.7325,0.4169738885051328,0.453123,1.629862,Stratum_4
6,s4_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,catch,26,8,77,1,1,0,1,1,Stratum_4
6,s5_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",10,avoid,6,49,56,1.0446126666666666,1,0.5334266869937861,0,1.5,Stratum_5
6,s5_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",5,catch,22,86,26,1.22522,1.302629,0.41900744680166474,0.288335,2.155094,Stratum_5
6,s6_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",27,avoid,98,39,124,1.2613636363636365,1.5,0.5140730777441702,0.1875,1.5,Stratum_6
6,s6_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,catch,36,36,73,1.5,1.5,0,1.5,1.5,Stratum_6
6,s7_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",11,avoid,29,111,54,1.5318957272727272,1.5,0.3770999526792657,0.573957,2.465391,Stratum_7
6,s7_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,catch,68,105,9,1.5768974242424243,1.311668,0.7112837965683523,0.260862,2.39588,Stratum_7
6,s8_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,avoid,29,40,110,1.8628365454545457,2.083822,0.4843036303445838,0.550069,2.109375,Stratum_8
6,s8_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,catch,68,108,7,1.9178721212121213,1.013888,1.415235414686673,0.138843,3.717856,Stratum_8
6,s9_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,avoid,68,108,108,2.0700284545454544,1.013888,1.3797572847894546,0.138843,3.717856,Stratum_9
6,s9_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,catch,68,108,13,2.2432330303030303,1.674109,1.3916384667939417,0.138843,3.717856,Stratum_9
6,s10_avoid,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,avoid,90,72,110,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
6,s10_catch,"Imagined how I would have solved the task myself, and then judged that corresponded to what was happening on screen.",0,catch,90,74,14,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
7,s1_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",2,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
7,s1_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",28,catch,53,21,65,0,0,0,0,0,Stratum_1
7,s2_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",5,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
7,s2_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",2,catch,91,57,65,0.30492424242424243,0.166667,0.2674475840750192,0,1.5,Stratum_2
7,s3_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",91,avoid,75,35,102,0.6176139393939394,0.578125,0.2948508114890413,0.0625,1.135415,Stratum_3
7,s3_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",55,catch,48,104,82,0.742115606060606,0.585813,0.4915776994178374,0.005102,1.5,Stratum_3
7,s4_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",93,avoid,23,53,121,0.9885381818181818,0.7325,0.4169738885051328,0.453123,1.629862,Stratum_4
7,s4_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",1,catch,26,8,77,1,1,0,1,1,Stratum_4
7,s5_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",2,avoid,6,49,56,1.0446126666666666,1,0.5334266869937861,0,1.5,Stratum_5
7,s5_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",20,catch,22,86,26,1.22522,1.302629,0.41900744680166474,0.288335,2.155094,Stratum_5
7,s6_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",12,avoid,98,39,124,1.2613636363636365,1.5,0.5140730777441702,0.1875,1.5,Stratum_6
7,s6_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",4,catch,36,36,73,1.5,1.5,0,1.5,1.5,Stratum_6
7,s7_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",8,avoid,29,111,54,1.5318957272727272,1.5,0.3770999526792657,0.573957,2.465391,Stratum_7
7,s7_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",22,catch,68,105,9,1.5768974242424243,1.311668,0.7112837965683523,0.260862,2.39588,Stratum_7
7,s8_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",2,avoid,29,40,110,1.8628365454545457,2.083822,0.4843036303445838,0.550069,2.109375,Stratum_8
7,s8_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",1,catch,68,108,7,1.9178721212121213,1.013888,1.415235414686673,0.138843,3.717856,Stratum_8
7,s9_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",15,avoid,68,108,108,2.0700284545454544,1.013888,1.3797572847894546,0.138843,3.717856,Stratum_9
7,s9_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",3,catch,68,108,13,2.2432330303030303,1.674109,1.3916384667939417,0.138843,3.717856,Stratum_9
7,s10_avoid,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",2,avoid,90,72,110,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
7,s10_catch,"Based on whether the ""animals"" behavior seemed algorithmic or whether it seemed as if though it is actually aware of the object.",15,catch,90,74,14,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
8,s1_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,5,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
8,s1_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,30,catch,53,21,65,0,0,0,0,0,Stratum_1
8,s2_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,5,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
8,s2_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,7,catch,91,57,65,0.30492424242424243,0.166667,0.2674475840750192,0,1.5,Stratum_2
8,s3_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,5,avoid,75,35,102,0.6176139393939394,0.578125,0.2948508114890413,0.0625,1.135415,Stratum_3
8,s3_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,30,catch,48,104,82,0.742115606060606,0.585813,0.4915776994178374,0.005102,1.5,Stratum_3
8,s4_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,10,avoid,23,53,121,0.9885381818181818,0.7325,0.4169738885051328,0.453123,1.629862,Stratum_4
8,s4_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,10,catch,26,8,77,1,1,0,1,1,Stratum_4
8,s5_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,7,avoid,6,49,56,1.0446126666666666,1,0.5334266869937861,0,1.5,Stratum_5
8,s5_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,5,catch,22,86,26,1.22522,1.302629,0.41900744680166474,0.288335,2.155094,Stratum_5
8,s6_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,19,avoid,98,39,124,1.2613636363636365,1.5,0.5140730777441702,0.1875,1.5,Stratum_6
8,s6_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,5,catch,36,36,73,1.5,1.5,0,1.5,1.5,Stratum_6
8,s7_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,20,avoid,29,111,54,1.5318957272727272,1.5,0.3770999526792657,0.573957,2.465391,Stratum_7
8,s7_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,7,catch,68,105,9,1.5768974242424243,1.311668,0.7112837965683523,0.260862,2.39588,Stratum_7
8,s8_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,10,avoid,29,40,110,1.8628365454545457,2.083822,0.4843036303445838,0.550069,2.109375,Stratum_8
8,s8_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,10,catch,68,108,7,1.9178721212121213,1.013888,1.415235414686673,0.138843,3.717856,Stratum_8
8,s9_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,16,avoid,68,108,108,2.0700284545454544,1.013888,1.3797572847894546,0.138843,3.717856,Stratum_9
8,s9_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,5,catch,68,108,13,2.2432330303030303,1.674109,1.3916384667939417,0.138843,3.717856,Stratum_9
8,s10_avoid,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,10,avoid,90,72,110,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
8,s10_catch,If they changed directions or looked like the they had plan I was more likely jugde them as concsious. I was probably also influenced if they succeed or not.,5,catch,90,74,14,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
9,s1_avoid,NA,26,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
9,s1_catch,NA,81,catch,53,21,65,0,0,0,0,0,Stratum_1
9,s2_avoid,NA,18,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
